epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.7846,0.66275,0.78571,1,0.44318,0.000544553,0.000544553,0.000544553
2,54.6728,0.51639,0.83673,1,0.27438,0.00104576,0.00104576,0.00104576
3,81.0748,0.39662,0.88776,1,0.26486,0.00149195,0.00149195,0.00149195
4,108.384,0.39554,0.88776,1,0.58517,0.00141945,0.00141945,0.00141945
5,134.919,0.3742,0.90816,1,0.25666,0.00133693,0.00133693,0.00133693
6,160.877,0.31886,0.88776,1,0.24388,0.00125442,0.00125442,0.00125442
7,185.682,0.29935,0.89796,1,0.2442,0.0011719,0.0011719,0.0011719
8,210.475,0.28037,0.91837,1,0.17688,0.00108938,0.00108938,0.00108938
9,235.001,0.31996,0.89796,1,0.18079,0.00100687,0.00100687,0.00100687
10,259.464,0.22951,0.92857,1,0.20672,0.000924352,0.000924352,0.000924352
11,283.945,0.21713,0.93878,1,0.13303,0.000841835,0.000841835,0.000841835
12,308.461,0.20403,0.93878,1,0.13587,0.000759318,0.000759318,0.000759318
13,333.018,0.20744,0.94898,1,0.4464,0.000676802,0.000676802,0.000676802
14,357.55,0.19744,0.92857,1,0.11745,0.000594286,0.000594286,0.000594286
15,383.119,0.2072,0.93878,1,0.21208,0.000511769,0.000511769,0.000511769
16,407.932,0.20631,0.92857,1,0.16035,0.000429253,0.000429253,0.000429253
17,433.812,0.19357,0.93878,1,0.13687,0.000346736,0.000346736,0.000346736
18,459.114,0.19967,0.92857,1,0.14177,0.00026422,0.00026422,0.00026422
19,483.996,0.18985,0.94898,1,0.12885,0.000181703,0.000181703,0.000181703
20,509.206,0.19263,0.95918,1,0.13242,9.91865e-05,9.91865e-05,9.91865e-05
